(1 - p)^10 + 3*(1 - p)^9*p + 3*(1 - p)^8*p^2,(1 - p)^9*p + 3*(1 - p)^8*p^2 + 3*(1 - p)^7*p^3,(1 - p)^9*p + 3*(1 - p)^8*p^2 + 2*(1 - p)^7*p^3,(1 - p)^8*p^2 + 2*(1 - p)^7*p^3 + (1 - p)^6*p^4,(1 - p)^9*p + 3*(1 - p)^8*p^2,(1 - p)^8*p^2 + 2*(1 - p)^7*p^3,(1 - p)^8*p^2 + (1 - p)^7*p^3,0,(1 - p)^9*p + 3*(1 - p)^8*p^2,(1 - p)^8*p^2 + 2*(1 - p)^7*p^3,(1 - p)^8*p^2 + (1 - p)^7*p^3,0,(1 - p)^8*p^2,0,0,0
(1 - p)^9*p + 2*(1 - p)^8*p^2,(1 - p)^8*p^2 + 2*(1 - p)^7*p^3,(1 - p)^8*p^2 + 3*(1 - p)^7*p^3,2*(1 - p)^7*p^3 + 2*(1 - p)^6*p^4,(1 - p)^8*p^2 + 4*(1 - p)^7*p^3,2*(1 - p)^7*p^3 + 2*(1 - p)^6*p^4,2*(1 - p)^7*p^3,(1 - p)^7*p^3 + (1 - p)^6*p^4,(1 - p)^8*p^2,2*(1 - p)^7*p^3,2*(1 - p)^7*p^3,(1 - p)^7*p^3 + (1 - p)^6*p^4,2*(1 - p)^7*p^3,(1 - p)^7*p^3,0,0
(1 - p)^9*p + 3*(1 - p)^8*p^2,(1 - p)^8*p^2 + 3*(1 - p)^7*p^3,(1 - p)^8*p^2 + 3*(1 - p)^7*p^3,(1 - p)^7*p^3 + 4*(1 - p)^6*p^4,(1 - p)^8*p^2 + 4*(1 - p)^7*p^3,(1 - p)^7*p^3 + 4*(1 - p)^6*p^4,2*(1 - p)^7*p^3 + 3*(1 - p)^6*p^4,3*(1 - p)^6*p^4,(1 - p)^8*p^2 + 6*(1 - p)^7*p^3,(1 - p)^7*p^3 + 3*(1 - p)^6*p^4,2*(1 - p)^7*p^3,3*(1 - p)^6*p^4,2*(1 - p)^7*p^3,2*(1 - p)^6*p^4,(1 - p)^7*p^3,(1 - p)^6*p^4
(1 - p)^9*p + 4*(1 - p)^8*p^2 + 4*(1 - p)^7*p^3,(1 - p)^8*p^2 + 4*(1 - p)^7*p^3 + 4*(1 - p)^6*p^4,(1 - p)^8*p^2 + 4*(1 - p)^7*p^3,(1 - p)^7*p^3 + 4*(1 - p)^6*p^4,(1 - p)^8*p^2 + 4*(1 - p)^7*p^3,(1 - p)^7*p^3 + 5*(1 - p)^6*p^4,(1 - p)^7*p^3 + 6*(1 - p)^6*p^4,(1 - p)^6*p^4 + 6*(1 - p)^5*p^5,(1 - p)^8*p^2 + 6*(1 - p)^7*p^3,(1 - p)^7*p^3 + 7*(1 - p)^6*p^4,(1 - p)^7*p^3 + 6*(1 - p)^6*p^4,(1 - p)^6*p^4,2*(1 - p)^7*p^3 + 2*(1 - p)^6*p^4,3*(1 - p)^6*p^4,4*(1 - p)^6*p^4,4*(1 - p)^5*p^5
3*(1 - p)^8*p^2 + 6*(1 - p)^7*p^3,3*(1 - p)^7*p^3 + 6*(1 - p)^6*p^4,3*(1 - p)^7*p^3 + 10*(1 - p)^6*p^4,4*(1 - p)^6*p^4,3*(1 - p)^7*p^3 + 4*(1 - p)^6*p^4,4*(1 - p)^6*p^4,5*(1 - p)^6*p^4,(1 - p)^6*p^4 + 4*(1 - p)^5*p^5,3*(1 - p)^7*p^3 + 2*(1 - p)^6*p^4,5*(1 - p)^6*p^4,8*(1 - p)^6*p^4,(1 - p)^6*p^4 + 10*(1 - p)^5*p^5,8*(1 - p)^6*p^4,(1 - p)^6*p^4 + 4*(1 - p)^5*p^5,(1 - p)^6*p^4 + 3*(1 - p)^5*p^5,(1 - p)^5*p^5 + 3*(1 - p)^4*p^6
10*(1 - p)^7*p^3,10*(1 - p)^6*p^4,10*(1 - p)^6*p^4,20*(1 - p)^5*p^5,13*(1 - p)^6*p^4,11*(1 - p)^5*p^5,(1 - p)^6*p^4 + 5*(1 - p)^5*p^5,5*(1 - p)^5*p^5 + (1 - p)^4*p^6,7*(1 - p)^6*p^4,5*(1 - p)^5*p^5,(1 - p)^6*p^4 + 3*(1 - p)^5*p^5,5*(1 - p)^5*p^5 + (1 - p)^4*p^6,4*(1 - p)^6*p^4 + 2*(1 - p)^5*p^5,8*(1 - p)^5*p^5 + (1 - p)^4*p^6,(1 - p)^6*p^4 + 5*(1 - p)^5*p^5 + (1 - p)^4*p^6,(1 - p)^5*p^5 + 5*(1 - p)^4*p^6 + (1 - p)^3*p^7
10*(1 - p)^6*p^4,10*(1 - p)^5*p^5,7*(1 - p)^5*p^5,4*(1 - p)^4*p^6,3*(1 - p)^6*p^4 + 3*(1 - p)^5*p^5,9*(1 - p)^5*p^5 + 2*(1 - p)^4*p^6,9*(1 - p)^5*p^5 + (1 - p)^4*p^6,10*(1 - p)^4*p^6,9*(1 - p)^6*p^4,9*(1 - p)^5*p^5,5*(1 - p)^5*p^5,4*(1 - p)^4*p^6,(1 - p)^6*p^4 + 2*(1 - p)^5*p^5,3*(1 - p)^5*p^5 + 2*(1 - p)^4*p^6,6*(1 - p)^5*p^5 + (1 - p)^4*p^6,6*(1 - p)^4*p^6 + (1 - p)^3*p^7
4*(1 - p)^6*p^4 + 4*(1 - p)^5*p^5,4*(1 - p)^5*p^5 + 4*(1 - p)^4*p^6,5*(1 - p)^5*p^5 + 2*(1 - p)^4*p^6,4*(1 - p)^4*p^6 + (1 - p)^3*p^7,5*(1 - p)^5*p^5,3*(1 - p)^4*p^6,6*(1 - p)^5*p^5 + (1 - p)^4*p^6,6*(1 - p)^4*p^6 + (1 - p)^3*p^7,2*(1 - p)^6*p^4 + 6*(1 - p)^5*p^5,6*(1 - p)^5*p^5 + 3*(1 - p)^4*p^6,8*(1 - p)^5*p^5 + (1 - p)^4*p^6,8*(1 - p)^4*p^6,8*(1 - p)^5*p^5,5*(1 - p)^4*p^6,(1 - p)^5*p^5 + 5*(1 - p)^4*p^6,(1 - p)^4*p^6 + 5*(1 - p)^3*p^7
(1 - p)^6*p^4 + 2*(1 - p)^5*p^5 + (1 - p)^4*p^6,(1 - p)^5*p^5 + 2*(1 - p)^4*p^6 + (1 - p)^3*p^7,2*(1 - p)^5*p^5 + 2*(1 - p)^4*p^6,4*(1 - p)^4*p^6 + (1 - p)^3*p^7,5*(1 - p)^5*p^5 + 3*(1 - p)^4*p^6,4*(1 - p)^4*p^6 + (1 - p)^3*p^7,4*(1 - p)^4*p^6,3*(1 - p)^4*p^6 + 3*(1 - p)^3*p^7,6*(1 - p)^5*p^5 + 3*(1 - p)^4*p^6,5*(1 - p)^4*p^6 + (1 - p)^3*p^7,4*(1 - p)^5*p^5 + 3*(1 - p)^4*p^6,5*(1 - p)^4*p^6 + 2*(1 - p)^3*p^7,8*(1 - p)^5*p^5 + 3*(1 - p)^4*p^6,8*(1 - p)^4*p^6 + (1 - p)^3*p^7,7*(1 - p)^4*p^6 + (1 - p)^3*p^7,7*(1 - p)^3*p^7 + (1 - p)^2*p^8
0,0,(1 - p)^5*p^5 + 2*(1 - p)^4*p^6 + (1 - p)^3*p^7,2*(1 - p)^4*p^6 + 2*(1 - p)^3*p^7,2*(1 - p)^5*p^5 + 3*(1 - p)^4*p^6 + (1 - p)^3*p^7,4*(1 - p)^4*p^6 + 2*(1 - p)^3*p^7,6*(1 - p)^4*p^6 + 2*(1 - p)^3*p^7,7*(1 - p)^3*p^7 + (1 - p)^2*p^8,3*(1 - p)^5*p^5 + 3*(1 - p)^4*p^6 + (1 - p)^3*p^7,4*(1 - p)^4*p^6 + 2*(1 - p)^3*p^7,6*(1 - p)^4*p^6 + 2*(1 - p)^3*p^7,2*(1 - p)^4*p^6 + 6*(1 - p)^3*p^7 + (1 - p)^2*p^8,6*(1 - p)^4*p^6 + 2*(1 - p)^3*p^7,4*(1 - p)^4*p^6 + 5*(1 - p)^3*p^7 + (1 - p)^2*p^8,6*(1 - p)^4*p^6 + 4*(1 - p)^3*p^7 + (1 - p)^2*p^8,6*(1 - p)^3*p^7 + 4*(1 - p)^2*p^8 + (1 - p)*p^9
